,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
UploadSpeed,0.4392515868191518,0.3556645269750979,-0.13412680771131869,-0.38363095302327005,0.6306642931107894,0.1451763924082636,-0.13821305753572705,-0.1453348450498204,0.05963526229452404,-0.02594445446705187,0.01617403536771879,-0.020857572327732495,-0.03215660218015534,-0.019265003381715808,0.07855424146961204,-0.0108788559616563,0.1306731338442067,0.025685111071725053,-0.04459868012550022,-0.015410894895116076,0.016725466989985924,0.011119785718914095,0.0
Download,0.5924305915485588,0.48291529148068846,-0.02788958748916753,-0.2929756899452542,0.4735651102241121,0.17243954002790216,-0.07103934817762432,-0.1408349196373154,0.043967120692324696,-0.08745781878290139,-0.013549318343682644,-0.041039072710941454,0.020704543115281394,0.019245062783844715,-0.05503586164210966,0.021261446077491766,-0.15864399418229141,-0.02640528429821817,0.05711270747305928,0.013991558494705991,-0.013431170240631214,-0.009636909050440273,0.0
FixedBroadbandSubscriptions,0.7604776456165578,0.4455928917788297,0.2095440798883829,0.13873505607189549,-0.06442275428348258,-0.044482789516394235,-0.11686960346265607,-0.0531935944099486,-0.21450228585095016,0.05303635469340446,0.004038732916317524,0.055682107210880114,0.13525457900969992,0.13877248058902367,-0.05189181702714744,-0.18903023105622901,-0.00022658735514079358,0.06542645862425663,-0.0006135902084728485,0.008213298308338184,0.008959425859010859,0.001340019458897371,0.0
ChargesIntellProperty,0.245744855392135,0.21465620266261262,0.0854125683847145,-0.04802115323141045,0.0671993814416508,0.043715678843706515,0.5657812404301789,-0.006007557333825629,-0.0040031924818007434,-0.011360752652977448,-0.31865612251839076,0.11216903856310996,-0.06937055887346748,-0.11982627216600693,0.044662879179075236,-0.04733430169015821,-0.0162689507038696,0.039545728098181944,-0.008513037196006238,0.0025474918942247795,0.0057406601492915954,-0.003292161890662171,0.0
GovernmentExpenditureOnEducation,0.04937482387494736,0.06212981978159463,0.08636838730660484,0.21265510530076182,-0.046567598922774886,0.5295795705388998,0.07556897484696398,0.17419436741239794,0.09845838434638161,0.11161232545193747,0.2525985901002407,-0.08507839481629749,-0.03634809480931494,-0.163508916365521,0.08586788245924266,-0.08537541709594926,-0.035076868888683534,0.029027214965430682,0.002848407531568097,0.0012348803584164608,0.002676777621528735,-0.0017803608977696424,0.0
GrossEnrolmentRatio,0.609099479671226,0.36218130698261225,-0.010225158436078645,0.2282041908211021,-0.03977801897647515,0.11717040671530014,-0.270273644611609,0.31430170642706956,0.06295082408165413,-0.20718669858184194,-0.0393331854689883,0.33205001707538007,0.06791459642070573,-0.09685081853575085,-0.01636038922721547,0.04911841638020169,0.017594575899872844,-0.008712668368603689,0.006284999327070683,0.0010382308542181483,0.0020629811958241917,0.0014874207591927737,0.0
HighTechnologyExports,0.22150552252615752,0.32343666193518567,-0.0001409790473996329,-0.16276592969094417,0.11184808194191122,0.1050296916112192,0.07825324703253819,0.2875635065928717,0.002678987562386534,0.48379253290037416,-0.04666851308039581,0.07491747513291395,0.06250740845567916,0.12571478035556377,-0.006141822838913502,0.07004289145718749,0.008442190896545462,-0.032760385310930396,-0.00103452100222931,0.00017529268417013929,-0.007099244515563434,0.0010274336418844567,0.0
GINIindex,-0.5586931282969468,-0.23197288558089824,0.4039338678078721,0.421494785414845,0.4950070202876283,-0.07083821800518392,0.05948546552453997,0.0391409298544296,-0.06482140186319833,0.037327162282061316,0.02014656349581138,-0.008580856337806222,0.016527397726041466,-0.03377869607673859,-0.05634129882447451,0.039660105028750746,0.060431173156210265,0.054716542348107175,0.11628092201916776,0.024693224349880635,0.009872508014044393,-0.0006618523391652327,0.0
IncomeShareLow20,0.4820412706513022,0.1716279309779854,-0.4381757482711572,-0.49422849431593263,-0.5111693816549472,0.06993458037194825,-0.024888477028180638,-0.0797342803665439,0.0217646961808147,0.02875400795617043,-0.0010490946977193664,-0.014253000090060423,-0.006503582493105027,-0.0316202362970361,0.026354232484291574,0.023017340092354337,0.05623010361114985,0.049918614098698466,0.1166196453705679,0.025174065182864247,0.009819945006576786,-0.0020667453183335284,0.0
SurveyMeanIncome,0.3960894164060489,0.4917585001892034,0.29250028699632635,0.0567324486410412,-0.1929685958162585,0.28920528939795226,0.3232034110448339,-0.01644408341678005,0.01923264594054063,-0.1665416687943642,0.06920860675642951,-0.13945853250427181,0.11910873380268161,0.07261674718350973,-0.16212293998511085,0.09280733617797354,0.05468424124490314,0.0114407185386215,-0.023228381155513875,-0.023984053499297758,-0.0018113643616495152,0.002514196439402846,0.0
Unemployment,0.0747421165124037,-0.21051461106757657,-0.07300748330521652,0.4898614114114037,-0.05748526727920714,0.32147350628129995,0.018368453967470943,-0.23968423089047633,0.22432599976352582,-0.04127955888171042,-0.09193953359211539,0.07051993546763181,-0.004138243401850606,0.24128370813712952,0.1370960963739671,0.009586058658613943,0.010164716348848846,-0.013953415986625785,0.02159574364831993,0.01308324936969802,-0.0008046717227015061,-0.0008454036110233598,0.0
UnemploymentTertiaryEducation,0.33494990476177866,0.04730450007729807,-0.19873114031132194,-0.10618303072004198,0.15124391572151918,-0.3626315985126305,0.22966947442492489,0.4093545435335216,0.23558719238563264,-0.17186248021629338,0.11863764359121023,-0.07250036652040727,-0.03649422881715109,0.15111514575155532,0.04955257667706741,-0.04968026103846004,-0.00464903675890672,0.020476326426938,0.018590342014383015,0.0022768999319556006,0.0032652748916721427,-0.0007568017680484696,0.0
GDP_BM,0.4989111486081395,0.49091309051561577,0.3330210306580262,0.0724726632012497,-0.04956849034352783,-0.35235909634151674,0.22504700664269484,-0.2719973032027138,-0.01571511776978025,0.050792241883230574,0.2534781824178709,0.14267868708172102,0.07844710515412505,-0.05930665830141921,0.13284901327277684,0.04441026891644374,-0.0032423003112344757,-0.039544385104737526,0.011620008814223428,-0.004435883613096178,-0.01082122101505527,0.004717996974162191,0.0
